subject,startDate,startTime,endDate,endTime,allDayEvent,description,location,private
vs. 北海道コンサドーレ札幌 第26節 明治安田生命J1リーグ,2023/9/2,13:00,,15:00,,,＠札幌ド,
vs. 浦和レッズ 第1戦 準々決勝 JリーグYBCルヴァンカップ,2023/9/6,19:00,,21:00,,,＠パナスタ,
vs. 浦和レッズ 第2戦 準々決勝 JリーグYBCルヴァンカップ,2023/9/10,19:00,,21:00,,,＠埼玉,
vs. アルビレックス新潟 第27節 明治安田生命J1リーグ,2023/9/17,19:00,,21:00,,,＠パナスタ,
vs. 浦和レッズ 第28節 明治安田生命J1リーグ,2023/9/24,17:00,,19:00,,,＠パナスタ,
vs. FC東京 第29節 明治安田生命J1リーグ,2023/10/1,15:00,,17:00,,,＠味スタ,
vs. 名古屋グランパス 第30節 明治安田生命J1リーグ,2023/10/21,14:00,,16:00,,,＠パナスタ,
vs. セレッソ大阪 第31節 明治安田生命J1リーグ,2023/10/28,14:00,,16:00,,,＠ヨドコウ,
vs. アビスパ福岡 第32節 明治安田生命J1リーグ,2023/11/11,15:00,,17:00,,,＠パナスタ,
vs. サンフレッチェ広島 第33節 明治安田生命J1リーグ,2023/11/25,14:00,,16:00,,,＠Eスタ,
vs. ヴィッセル神戸 第34節 明治安田生命J1リーグ,2023/12/3,14:00,,16:00,,,＠パナスタ,
